Date,Unnamed: 1,Berri1,Boyer,Boyer 2,Brébeuf,Christophe-Colomb,CSC (Côte Sainte-Catherine),Eco-Totem - Métro Laurier,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont Jacques-Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent/Bellechasse,Saint-Urbain
2017-01-01,00:00,38,35,,20,,60,58,38,12,10,13,9,0.0,42,77,15,8,72,5
2017-01-02,00:00,109,40,0.0,43,,61,66,152,57,9,52,14,0.0,136,231,22,10,182,4
2017-01-03,00:00,141,24,24.0,9,,14,131,216,74,32,71,17,0.0,99,242,53,28,532,5
2017-01-04,00:00,233,64,95.0,7,,12,160,284,80,45,64,5,15.0,128,296,131,33,821,0
2017-01-05,00:00,265,93,94.0,11,,14,160,306,97,38,97,6,0.0,189,338,89,45,786,9
2017-01-06,00:00,306,90,120.0,7,,120,197,325,87,51,115,7,0.0,189,404,88,39,1367,10
2017-01-07,00:00,96,62,96.0,15,,77,132,149,35,13,37,12,0.0,118,187,16,14,163,10
2017-01-08,00:00,113,60,61.0,7,,81,104,117,59,16,24,5,0.0,99,180,28,4,198,16
2017-01-09,00:00,362,93,162.0,5,,299,228,386,113,74,169,5,0.0,162,417,126,41,975,26
2017-01-10,00:00,451,144,198.0,5,,245,310,495,147,89,205,3,0.0,247,520,160,58,577,33
2017-01-11,00:00,458,157,159.0,7,,212,323,556,147,65,227,6,0.0,299,549,161,69,630,160
2017-01-12,00:00,440,123,162.0,6,,205,364,504,140,59,278,4,0.0,265,564,150,59,594,149
2017-01-13,00:00,398,92,181.0,9,,201,367,545,141,85,233,7,0.0,265,510,161,44,600,67
2017-01-14,00:00,125,45,79.0,6,,180,166,209,51,23,65,9,0.0,157,220,41,17,280,19
2017-01-15,00:00,120,46,87.0,5,0.0,116,191,171,65,22,64,12,0.0,171,268,43,10,334,49
2017-01-16,00:00,507,144,256.0,7,72.0,366,423,701,208,103,349,17,0.0,315,670,213,59,815,203
2017-01-17,00:00,576,157,270.0,7,73.0,378,516,817,216,124,402,15,0.0,379,724,244,70,994,236
2017-01-18,00:00,459,181,214.0,5,60.0,226,358,567,178,78,229,11,12.0,230,538,173,45,594,98
2017-01-19,00:00,495,187,243.0,10,53.0,345,425,728,177,76,327,10,0.0,297,607,161,56,748,196
2017-01-20,00:00,518,162,251.0,3,78.0,255,493,794,186,98,337,21,2.0,336,609,186,64,867,158
2017-01-21,00:00,265,106,145.0,6,29.0,93,286,357,78,30,127,14,2.0,232,363,70,14,444,102
2017-01-22,00:00,194,107,150.0,6,27.0,113,269,330,109,13,89,38,0.0,234,372,67,20,449,100
2017-01-23,00:00,557,184,274.0,5,94.0,373,515,855,213,0,422,21,0.0,340,702,230,59,851,231
2017-01-24,00:00,185,60,124.0,5,19.0,117,209,296,98,0,67,2,0.0,144,298,74,21,238,43
2017-01-25,00:00,434,110,192.0,7,69.0,236,333,552,140,0,234,10,28.0,233,504,198,52,605,66
2017-01-26,00:00,518,156,229.0,2,83.0,260,469,656,184,0,302,15,0.0,306,612,193,70,690,170
2017-01-27,00:00,441,114,232.0,4,78.0,208,352,625,148,0,277,7,1.0,267,568,165,58,668,169
2017-01-28,00:00,173,84,97.0,0,23.0,64,244,255,82,0,97,21,0.0,198,301,54,16,411,87
2017-01-29,00:00,173,78,93.0,5,14.0,108,225,214,66,0,85,14,0.0,186,278,51,7,352,86
2017-01-30,00:00,421,155,230.0,3,82.0,282,373,671,181,0,308,17,8.0,279,576,163,51,693,148
2017-01-31,00:00,501,132,244.0,0,78.0,332,466,655,171,0,316,11,2.0,301,573,199,52,715,140
2017-02-01,00:00,443,126,232.0,1,69.0,345,459,651,165,40,287,18,0.0,283,583,186,54,732,109
2017-02-02,00:00,505,140,232.0,4,79.0,485,428,666,157,113,300,11,0.0,297,638,193,44,728,145
2017-02-03,00:00,405,126,225.0,6,88.0,336,420,648,157,31,253,17,1.0,305,570,138,43,675,179
2017-02-04,00:00,143,47,93.0,2,23.0,100,270,273,61,0,90,9,0.0,143,276,50,10,321,76
2017-02-05,00:00,108,46,79.0,2,25.0,69,262,234,63,0,81,11,0.0,184,273,45,12,310,66
2017-02-06,00:00,443,115,233.0,3,71.0,318,394,589,166,46,287,12,1.0,264,558,156,52,699,206
2017-02-07,00:00,413,122,214.0,8,61.0,287,283,539,123,86,243,11,0.0,229,517,134,38,543,62
2017-02-08,00:00,285,87,184.0,4,4.0,174,354,251,137,32,159,16,0.0,189,370,76,39,478,31
2017-02-09,00:00,397,98,233.0,5,27.0,207,425,525,137,44,186,8,0.0,237,441,111,56,534,49
